Product_Name,Description, Price 
Tata Salt,Iodized vacuum evaporated salt for everyday cooking, ₹22 
Maggi Noodles,Instant noodles with masala flavor packet, ₹14 
Amul Butter,Pasteurized table butter made from fresh cream, ₹55 
Parle-G Biscuits,Glucose biscuits popular for tea time snacking, ₹10 
Surf Excel Detergent,Stain removal detergent powder for clothes, ₹140 
Dettol Soap,Antiseptic bathing soap for germ protection, ₹35 
Colgate Strong Teeth,Calcium enriched toothpaste for dental care, ₹55 
Mother Dairy Milk,Pasteurized toned milk in polypack, ₹30 
MTR Rava Idli Mix,Instant semolina idli mix for quick breakfast, ₹45 
Red Label Tea,Premium leaf tea for strong morning brew, ₹140 
Patanjali Ghee,Pure cow ghee for cooking and religious purposes, ₹560 
Lifebuoy Soap,Antibacterial bathing soap for family use, ₹30 
Clinic Plus Shampoo,Strong and long hair shampoo with protein formula, ₹90 
Lux Soap,Beauty soap with floral fragrance, ₹36 
Fortune Sunflower Oil,Refined cooking oil with light flavor, ₹210 
Britannia Good Day Biscuits,Butter cookies with crunchy texture, ₹30 
Horlicks,Malted milk drink powder for nutrition, ₹270 
Dabur Red Toothpaste,Ayurvedic toothpaste with natural ingredients, ₹75 
Aashirvaad Atta,Premium wheat flour for rotis and chapatis, ₹280 
Sunsilk Shampoo,Hair fall solution shampoo for women, ₹120 
Fair & Lovely Cream,Skin fairness cream for women, ₹45 
Harpic Toilet Cleaner,Powerful disinfectant for toilet cleaning, ₹85 
Bournvita,Chocolate flavored health drink powder, ₹220 
Close Up Toothpaste,Gel toothpaste with fresh mint flavor, ₹65 
Parachute Coconut Oil,Pure coconut oil for hair nourishment, ₹90 
MDH Chana Masala,Spice blend for chickpea curry preparation, ₹62 
Lizol Floor Cleaner,Disinfectant liquid floor cleaner, ₹110 
Haldiram's Bhujia,Traditional savory Indian snack, ₹48 
Margo Neem Soap,Neem extract soap for skin care, ₹32 
Chyawanprash Dabur,Ayurvedic health supplement with herbs and amla, ₹325 
Kissan Mixed Fruit Jam,Sweet fruit preserve for bread spread, ₹120 
Everest Garam Masala,Blend of ground spices for Indian dishes, ₹75 
Garnier Men Face Wash,Charcoal infused face wash for men, ₹95 
Vim Bar,Dishwashing bar with lemon extract, ₹12 
Bru Instant Coffee,Instant coffee granules for quick brewing, ₹140 
Hajmola Tablets,Digestive candy tablets with tangy flavor, ₹30 
Godrej Hair Dye,Natural black hair color cream, ₹95 
All Out Mosquito Repellent,Liquid vaporizer for mosquito protection, ₹78 
Sofit Soya Milk,Flavored soya milk beverage, ₹35 
Saffola Active Oil,Blended edible oil for heart health, ₹240 
Mortein Coil,Mosquito repellent coil for outdoor use, ₹40 
Rajdhani Besan,Gram flour for Indian snacks and dishes, ₹65 
Cinthol Soap,Deodorant soap with refreshing scent, ₹36 
Knorr Soup,Instant vegetable soup mix, ₹15 
Vatika Shampoo,Nourishing shampoo with natural extracts, ₹125 
Glucon-D,Instant energy glucose powder, ₹110 
Real Fruit Juice,Packaged fruit juice in tetra pack, ₹35 
Gits Gulab Jamun Mix,Instant dessert mix for sweet preparation, ₹85 
Boost,Malted chocolate health drink, ₹250 
Himalaya Face Wash,Neem based purifying face wash, ₹110 
Pears Soap,Glycerin transparent soap for gentle cleansing, ₹45 
Nestle Everyday Dairy Whitener,Dairy creamer for tea and coffee, ₹130 
Pepsodent Toothpaste,Cavity protection toothpaste, ₹55 
Santoor Soap,Sandalwood and turmeric beauty soap, ₹32 
ITC Aashirvaad Salt,Free-flowing iodized salt with added minerals, ₹25 
Lijjat Papad,Sun-dried lentil wafers for frying, ₹55 
Society Tea,Premium CTC tea leaves for strong brew, ₹125 
Vicco Turmeric Cream,Ayurvedic skin cream with turmeric, ₹85 
Ujala Supreme,Liquid fabric whitener for clothes, ₹65 
Amul Cheese Spread,Processed cheese spread in plastic container, ₹110 
Tata Tea Gold,Premium leaf tea with long leaves, ₹160 
Nivea Cream,Moisturizing cream in blue tin container, ₹190 
Rasna,Concentrated fruit drink mix, ₹100 
Cycle Agarbatti,Fragrant incense sticks for worship, ₹35 
Mysore Sandal Soap,Sandalwood oil infused bathing soap, ₹52 
Nycil Talcum Powder,Cooling talcum powder for heat rash prevention, ₹75 
Kissan Ketchup,Tomato ketchup with spices, ₹110 
Top Ramen,Instant noodles with vegetable masala, ₹15 
Tata Tea Premium,Everyday drinking tea leaves, ₹140 
Rin Detergent Bar,Laundry soap bar for tough stains, ₹18 
Taj Mahal Tea,Premium Darjeeling tea leaves, ₹190 
Brooke Bond Red Label,Natural care tea with ayurvedic herbs, ₹135 
Dettol Handwash,Liquid hand soap with antibacterial properties, ₹90 
Lays Potato Chips,Crispy salted potato wafers, ₹20 
Cadbury Dairy Milk,Milk chocolate bar with smooth texture, ₹40 
Amul Lassi,Sweetened yogurt-based drink, ₹25 
Dalda Vanaspati,Vegetable shortening for cooking, ₹175 
Gillette Guard Razor,Single blade razor for men, ₹20 
Navratna Oil,Cooling hair oil with herbal extracts, ₹130 
Saffola Oats,Instant rolled oats for breakfast, ₹95 
Boroline Cream,Antiseptic ayurvedic skin cream, ₹40 
Nirma Detergent Powder,Economy washing powder for clothes, ₹60 
Bikano Namkeen,Mixed savory snack with peanuts, ₹55 
Fogg Deodorant,Body spray without gas, ₹190 
Action Shoes Whitener,White liquid polish for canvas shoes, ₹25 
India Gate Basmati Rice,Long grain aromatic rice, ₹175 
Kurkure,Crunchy corn puffs with masala flavor, ₹20 
Godrej Hair Colour,Natural black hair color cream, ₹95 
Dettol Antiseptic Liquid,Concentrated germ-killing solution, ₹130 
Frooti,Mango flavored beverage in tetra pack, ₹20 
Revital H,Daily health supplement with vitamins and minerals, ₹310 
Balaji Wafers,Spicy potato chips regional brand, ₹20 
Moov Pain Relief Cream,Ayurvedic muscle pain relief ointment, ₹90 
Bailley Water,Purified drinking water in bottle, ₹18 
Fem Bleach Cream,Facial hair lightening cream, ₹75 
Pidilite Fevicol,White adhesive for paper and wood, ₹35 
Chandrika Soap,Ayurvedic bathing soap with natural herbs, ₹35 
Fiama Di Wills Shower Gel,Luxury bathing gel with essential oils, ₹180 
